Model,Accuracy,Precision,Recall,F1-Score,AUC
Proposed Hybrid (NASNetMobile + EfficientNetB0),0.885,0.86,0.86,0.86,0.985
SVM,0.76,,,,0.75
Decision Tree,0.71,,,,0.65
Logistic Regression,0.72,,,,0.7
