Class,Precision,Recall,F1-Score,Support
Benign,0.87,0.89,0.88,500.0
Malignant,0.8,0.86,0.83,256.0
Normal,0.87,0.84,0.86,161.0
Macro Avg,0.85,0.86,0.85,
Weighted Avg,0.86,0.86,0.86,
